Nacional,region,Sexo,year,Total
Total,01 Andalucía,Total,2019,8.414.240
Total,01 Andalucía,Total,2018,8.384.408
Total,01 Andalucía,Total,2017,8.379.820
Total,01 Andalucía,Total,2016,8.388.107
Total,01 Andalucía,Total,2015,8.399.043
Total,01 Andalucía,Total,2014,8.402.305
Total,01 Andalucía,Total,2013,8.440.300
Total,01 Andalucía,Total,2012,8.449.985
Total,01 Andalucía,Total,2011,8.424.102
Total,01 Andalucía,Total,2010,8.370.975
Total,02 Aragón,Total,2019,1.319.291
Total,02 Aragón,Total,2018,1.308.728
Total,02 Aragón,Total,2017,1.308.750
Total,02 Aragón,Total,2016,1.308.563
Total,02 Aragón,Total,2015,1.317.847
Total,02 Aragón,Total,2014,1.325.385
Total,02 Aragón,Total,2013,1.347.150
Total,02 Aragón,Total,2012,1.349.467
Total,02 Aragón,Total,2011,1.346.293
Total,02 Aragón,Total,2010,1.347.095
Total,"03 Asturias Principado de",Total,2019,1.022.800
Total,"03 Asturias Principado de",Total,2018,1.028.244
Total,"03 Asturias Principado de",Total,2017,1.034.960
Total,"03 Asturias Principado de",Total,2016,1.042.608
Total,"03 Asturias Principado de",Total,2015,1.051.229
Total,"03 Asturias Principado de",Total,2014,1.061.756
Total,"03 Asturias Principado de",Total,2013,1.068.165
Total,"03 Asturias Principado de",Total,2012,1.077.360
Total,"03 Asturias Principado de",Total,2011,1.081.487
Total,"03 Asturias Principado de",Total,2010,1.084.341
Total,"04 Balears Illes",Total,2019,1.149.460
Total,"04 Balears Illes",Total,2018,1.128.908
Total,"04 Balears Illes",Total,2017,1.115.999
Total,"04 Balears Illes",Total,2016,1.107.220
Total,"04 Balears Illes",Total,2015,1.104.479
Total,"04 Balears Illes",Total,2014,1.103.442
Total,"04 Balears Illes",Total,2013,1.111.674
Total,"04 Balears Illes",Total,2012,1.119.439
Total,"04 Balears Illes",Total,2011,1.113.114
Total,"04 Balears Illes",Total,2010,1.106.049
Total,05 Canarias,Total,2019,2.153.389
Total,05 Canarias,Total,2018,2.127.685
Total,05 Canarias,Total,2017,2.108.121
Total,05 Canarias,Total,2016,2.101.924
Total,05 Canarias,Total,2015,2.100.306
Total,05 Canarias,Total,2014,2.104.815
Total,05 Canarias,Total,2013,2.118.679
Total,05 Canarias,Total,2012,2.118.344
Total,05 Canarias,Total,2011,2.126.769
Total,05 Canarias,Total,2010,2.118.519
Total,06 Cantabria,Total,2019,581.078
Total,06 Cantabria,Total,2018,580.229
Total,06 Cantabria,Total,2017,580.295
Total,06 Cantabria,Total,2016,582.206
Total,06 Cantabria,Total,2015,585.179
Total,06 Cantabria,Total,2014,588.656
Total,06 Cantabria,Total,2013,591.888
Total,06 Cantabria,Total,2012,593.861
Total,06 Cantabria,Total,2011,593.121
Total,06 Cantabria,Total,2010,592.250
Total,07 Castilla y León,Total,2019,2.399.548
Total,07 Castilla y León,Total,2018,2.409.164
Total,07 Castilla y León,Total,2017,2.425.801
Total,07 Castilla y León,Total,2016,2.447.519
Total,07 Castilla y León,Total,2015,2.472.052
Total,07 Castilla y León,Total,2014,2.494.790
Total,07 Castilla y León,Total,2013,2.519.875
Total,07 Castilla y León,Total,2012,2.546.078
Total,07 Castilla y León,Total,2011,2.558.463
Total,07 Castilla y León,Total,2010,2.559.515
Total,08 Castilla - La Mancha,Total,2019,2.032.863
Total,08 Castilla - La Mancha,Total,2018,2.026.807
Total,08 Castilla - La Mancha,Total,2017,2.031.479
Total,08 Castilla - La Mancha,Total,2016,2.041.631
Total,08 Castilla - La Mancha,Total,2015,2.059.191
Total,08 Castilla - La Mancha,Total,2014,2.078.611
Total,08 Castilla - La Mancha,Total,2013,2.100.998
Total,08 Castilla - La Mancha,Total,2012,2.121.888
Total,08 Castilla - La Mancha,Total,2011,2.115.334
Total,08 Castilla - La Mancha,Total,2010,2.098.373
Total,09 Cataluña,Total,2019,7.675.217
Total,09 Cataluña,Total,2018,7.600.065
Total,09 Cataluña,Total,2017,7.555.830
Total,09 Cataluña,Total,2016,7.522.596
Total,09 Cataluña,Total,2015,7.508.106
Total,09 Cataluña,Total,2014,7.518.903
Total,09 Cataluña,Total,2013,7.553.650
Total,09 Cataluña,Total,2012,7.570.908
Total,09 Cataluña,Total,2011,7.539.618
Total,09 Cataluña,Total,2010,7.512.381
Total,10 Comunitat Valenciana,Total,2019,5.003.769
Total,10 Comunitat Valenciana,Total,2018,4.963.703
Total,10 Comunitat Valenciana,Total,2017,4.941.509
Total,10 Comunitat Valenciana,Total,2016,4.959.968
Total,10 Comunitat Valenciana,Total,2015,4.980.689
Total,10 Comunitat Valenciana,Total,2014,5.004.844
Total,10 Comunitat Valenciana,Total,2013,5.113.815
Total,10 Comunitat Valenciana,Total,2012,5.129.266
Total,10 Comunitat Valenciana,Total,2011,5.117.190
Total,10 Comunitat Valenciana,Total,2010,5.111.706
Total,11 Extremadura,Total,2019,1.067.710
Total,11 Extremadura,Total,2018,1.072.863
Total,11 Extremadura,Total,2017,1.079.920
Total,11 Extremadura,Total,2016,1.087.778
Total,11 Extremadura,Total,2015,1.092.997
Total,11 Extremadura,Total,2014,1.099.632
Total,11 Extremadura,Total,2013,1.104.004
Total,11 Extremadura,Total,2012,1.108.130
Total,11 Extremadura,Total,2011,1.109.367
Total,11 Extremadura,Total,2010,1.107.220
Total,12 Galicia,Total,2019,2.699.499
Total,12 Galicia,Total,2018,2.701.743
Total,12 Galicia,Total,2017,2.708.339
Total,12 Galicia,Total,2016,2.718.525
Total,12 Galicia,Total,2015,2.732.347
Total,12 Galicia,Total,2014,2.748.695
Total,12 Galicia,Total,2013,2.765.940
Total,12 Galicia,Total,2012,2.781.498
Total,12 Galicia,Total,2011,2.795.422
Total,12 Galicia,Total,2010,2.797.653
Total,"13 Madrid Comunidad de",Total,2019,6.663.394
Total,"13 Madrid Comunidad de",Total,2018,6.578.079
Total,"13 Madrid Comunidad de",Total,2017,6.507.184
Total,"13 Madrid Comunidad de",Total,2016,6.466.996
Total,"13 Madrid Comunidad de",Total,2015,6.436.996
Total,"13 Madrid Comunidad de",Total,2014,6.454.440
Total,"13 Madrid Comunidad de",Total,2013,6.495.551
Total,"13 Madrid Comunidad de",Total,2012,6.498.560
Total,"13 Madrid Comunidad de",Total,2011,6.489.680
Total,"13 Madrid Comunidad de",Total,2010,6.458.684
Total,"14 Murcia Región de",Total,2019,1.493.898
Total,"14 Murcia Región de",Total,2018,1.478.509
Total,"14 Murcia Región de",Total,2017,1.470.273
Total,"14 Murcia Región de",Total,2016,1.464.847
Total,"14 Murcia Región de",Total,2015,1.467.288
Total,"14 Murcia Región de",Total,2014,1.466.818
Total,"14 Murcia Región de",Total,2013,1.472.049
Total,"14 Murcia Región de",Total,2012,1.474.449
Total,"14 Murcia Región de",Total,2011,1.470.069
Total,"14 Murcia Región de",Total,2010,1.461.979
Total,"15 Navarra Comunidad Foral de",Total,2019,654.214
Total,"15 Navarra Comunidad Foral de",Total,2018,647.554
Total,"15 Navarra Comunidad Foral de",Total,2017,643.234
Total,"15 Navarra Comunidad Foral de",Total,2016,640.647
Total,"15 Navarra Comunidad Foral de",Total,2015,640.476
Total,"15 Navarra Comunidad Foral de",Total,2014,640.790
Total,"15 Navarra Comunidad Foral de",Total,2013,644.477
Total,"15 Navarra Comunidad Foral de",Total,2012,644.566
Total,"15 Navarra Comunidad Foral de",Total,2011,642.051
Total,"15 Navarra Comunidad Foral de",Total,2010,636.924
Total,16 País Vasco,Total,2019,2.207.776
Total,16 País Vasco,Total,2018,2.199.088
Total,16 País Vasco,Total,2017,2.194.158
Total,16 País Vasco,Total,2016,2.189.534
Total,16 País Vasco,Total,2015,2.189.257
Total,16 País Vasco,Total,2014,2.188.985
Total,16 País Vasco,Total,2013,2.191.682
Total,16 País Vasco,Total,2012,2.193.093
Total,16 País Vasco,Total,2011,2.184.606
Total,16 País Vasco,Total,2010,2.178.339
Total,"17 Rioja La",Total,2019,316.798
Total,"17 Rioja La",Total,2018,315.675
Total,"17 Rioja La",Total,2017,315.381
Total,"17 Rioja La",Total,2016,315.794
Total,"17 Rioja La",Total,2015,317.053
Total,"17 Rioja La",Total,2014,319.002
Total,"17 Rioja La",Total,2013,322.027
Total,"17 Rioja La",Total,2012,323.609
Total,"17 Rioja La",Total,2011,322.955
Total,"17 Rioja La",Total,2010,322.415
Total,18 Ceuta,Total,2019,84.777
Total,18 Ceuta,Total,2018,85.144
Total,18 Ceuta,Total,2017,84.959
Total,18 Ceuta,Total,2016,84.519
Total,18 Ceuta,Total,2015,84.263
Total,18 Ceuta,Total,2014,84.963
Total,18 Ceuta,Total,2013,84.180
Total,18 Ceuta,Total,2012,84.018
Total,18 Ceuta,Total,2011,82.376
Total,18 Ceuta,Total,2010,80.579
Total,19 Melilla,Total,2019,86.487
Total,19 Melilla,Total,2018,86.384
Total,19 Melilla,Total,2017,86.120
Total,19 Melilla,Total,2016,86.026
Total,19 Melilla,Total,2015,85.584
Total,19 Melilla,Total,2014,84.509
Total,19 Melilla,Total,2013,83.679
Total,19 Melilla,Total,2012,80.802
Total,19 Melilla,Total,2011,78.476
Total,19 Melilla,Total,2010,76.034
